Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
I1,09/09/11,Milan,Lazio,2,2,2,2,-161,275,450,105,-110,-1
I1,10/09/11,Cesena,Napoli,1,3,1,1,225,230,120,138,-143,0.5
I1,11/09/11,Catania,Siena,0,0,0,0,100,220,300,143,-161,-0.5
I1,11/09/11,Chievo,Novara,2,2,2,1,-110,225,333,143,-152,-0.5
I1,11/09/11,Fiorentina,Bologna,2,0,1,0,-161,240,550,125,-132,-0.75
I1,11/09/11,Genoa,Atalanta,2,2,1,2,-137,250,400,116,-120,-0.75
I1,11/09/11,Juventus,Parma,4,1,1,0,-250,350,700,-105,-101,-1
I1,11/09/11,Lecce,Udinese,0,2,0,2,200,220,140,102,-109,0.25
I1,11/09/11,Palermo,Inter,4,3,0,1,275,240,100,-102,-106,0.5
I1,11/09/11,Roma,Cagliari,1,2,0,0,-200,300,600,-123,115,-1
I1,17/09/11,Cagliari,Novara,2,1,1,0,-161,260,500,118,-130,-0.75
I1,17/09/11,Inter,Roma,0,0,0,0,-118,250,320,-125,117,-0.5
I1,18/09/11,Atalanta,Palermo,1,0,1,0,140,220,200,117,-125,-0.25
I1,18/09/11,Bologna,Lecce,0,2,0,1,-118,240,333,125,-143,-0.5
I1,18/09/11,Catania,Cesena,1,0,1,0,110,210,280,143,-161,-0.25
I1,18/09/11,Lazio,Genoa,1,2,1,0,-137,250,400,-105,-102,-0.75
I1,18/09/11,Napoli,Milan,3,1,2,1,163,210,175,120,-133,0
I1,18/09/11,Parma,Chievo,2,1,1,0,105,225,275,139,-159,-0.5
I1,18/09/11,Siena,Juventus,0,1,0,0,400,250,-137,111,-123,0.75
I1,18/09/11,Udinese,Fiorentina,2,0,2,0,110,230,250,115,-127,-0.25
I1,20/09/11,Novara,Inter,3,1,1,0,500,260,-161,-102,-101,0.75
I1,21/09/11,Cesena,Lazio,1,2,1,0,240,220,120,122,-128,0.25
I1,21/09/11,Chievo,Napoli,1,0,0,0,300,220,100,127,-141,0.5
I1,21/09/11,Fiorentina,Parma,3,0,0,0,-125,230,375,116,-125,-0.5
I1,21/09/11,Genoa,Catania,3,0,2,0,-125,230,375,114,-123,-0.5
I1,21/09/11,Juventus,Bologna,1,1,1,0,-250,333,750,-122,121,-1.25
I1,21/09/11,Lecce,Atalanta,1,2,1,1,150,210,190,118,-127,0
I1,21/09/11,Milan,Udinese,1,1,0,1,-149,250,450,-115,106,-0.75
I1,21/09/11,Palermo,Cagliari,3,2,2,0,-110,240,300,-106,105,-0.5
I1,22/09/11,Roma,Siena,1,1,1,0,-175,275,500,-115,109,-1
I1,24/09/11,Bologna,Inter,1,3,0,1,300,240,-110,111,-118,0.5
I1,24/09/11,Milan,Cesena,1,0,1,0,-303,400,750,-115,115,-1.25
I1,24/09/11,Napoli,Fiorentina,0,0,0,0,-137,250,400,105,-110,-0.5
I1,25/09/11,Atalanta,Novara,2,1,1,0,-125,230,375,116,-125,-0.5
I1,25/09/11,Cagliari,Udinese,0,0,0,0,150,220,180,100,-110,0
I1,25/09/11,Catania,Juventus,1,1,1,0,300,220,100,115,-125,0.5
I1,25/09/11,Chievo,Genoa,2,1,0,0,150,220,180,134,-139,0
I1,25/09/11,Lazio,Palermo,0,0,0,0,-120,240,350,-108,103,-0.5
I1,25/09/11,Parma,Roma,0,1,0,0,200,220,138,102,-110,0.25
I1,25/09/11,Siena,Lecce,3,0,1,0,-110,225,333,115,-125,-0.5
I1,01/10/11,Inter,Napoli,0,3,0,1,100,230,275,110,-110,-0.5
I1,01/10/11,Roma,Atalanta,3,1,2,0,-143,260,400,-115,108,-0.75
I1,02/10/11,Cesena,Chievo,0,0,0,0,140,210,210,147,-154,-0.25
I1,02/10/11,Fiorentina,Lazio,1,2,1,1,100,240,275,124,-133,-0.5
I1,02/10/11,Juventus,Milan,2,0,0,0,138,220,200,117,-125,-0.25
I1,02/10/11,Lecce,Cagliari,0,2,0,2,163,210,175,114,-123,0
I1,02/10/11,Novara,Catania,3,3,0,1,130,220,210,120,-130,-0.25
I1,02/10/11,Palermo,Siena,2,0,1,0,-110,240,300,100,-105,-0.5
I1,02/10/11,Parma,Genoa,3,1,2,0,145,210,200,117,-125,0
I1,02/10/11,Udinese,Bologna,2,0,1,0,-175,280,500,-103,-106,-1
I1,15/10/11,Catania,Inter,2,1,0,1,260,225,110,114,-120,0.25
I1,15/10/11,Milan,Palermo,3,0,1,0,-227,320,650,-114,107,-1
I1,15/10/11,Napoli,Parma,1,2,0,0,-200,275,650,104,-114,-1
I1,16/10/11,Atalanta,Udinese,0,0,0,0,160,210,180,111,-120,0
I1,16/10/11,Cagliari,Siena,0,0,0,0,-110,225,333,127,-133,-0.5
I1,16/10/11,Cesena,Fiorentina,0,0,0,0,200,220,140,133,-143,0.25
I1,16/10/11,Chievo,Juventus,0,0,0,0,300,220,100,133,-133,0.25
I1,16/10/11,Genoa,Lecce,0,0,0,0,-175,275,500,-108,100,-1
I1,16/10/11,Lazio,Roma,2,1,0,1,160,220,175,109,-120,0
I1,16/10/11,Novara,Bologna,0,2,0,1,100,230,280,108,-118,-0.5
I1,22/10/11,Fiorentina,Catania,2,2,1,1,-149,250,450,120,-127,-0.75
I1,22/10/11,Juventus,Genoa,2,2,1,1,-161,260,500,-104,102,-1
I1,23/10/11,Bologna,Lazio,0,2,0,1,250,230,110,129,-133,0.25
I1,23/10/11,Cagliari,Napoli,0,0,0,0,180,225,150,132,-143,0
I1,23/10/11,Inter,Chievo,1,0,1,0,-182,275,550,-104,100,-1
I1,23/10/11,Lecce,Milan,3,4,3,0,600,300,-200,103,-105,1
I1,23/10/11,Parma,Atalanta,1,2,0,0,110,220,260,125,-133,-0.5
I1,23/10/11,Roma,Palermo,1,0,1,0,-137,250,400,-108,-101,-0.75
I1,23/10/11,Siena,Cesena,2,0,1,0,-120,240,350,151,-154,-0.5
I1,23/10/11,Udinese,Novara,3,0,2,0,-227,320,650,-118,110,-1
I1,25/10/11,Juventus,Fiorentina,2,1,1,0,-149,260,450,107,-116,-0.75
I1,26/10/11,Atalanta,Inter,1,1,1,1,220,225,125,112,-122,0.25
I1,26/10/11,Cesena,Cagliari,1,1,1,1,170,210,170,143,-154,0
I1,26/10/11,Chievo,Bologna,0,1,0,0,-125,225,400,143,-149,-0.5
I1,26/10/11,Genoa,Roma,2,1,1,0,160,220,175,-105,-102,0
I1,26/10/11,Lazio,Catania,1,1,1,0,-149,260,450,-110,101,-0.75
I1,26/10/11,Milan,Parma,4,1,2,0,-303,375,900,-135,130,-1.5
I1,26/10/11,Napoli,Udinese,2,0,2,0,105,225,275,121,-130,-0.5
I1,26/10/11,Novara,Siena,1,1,0,1,140,220,200,122,-130,-0.25
I1,27/10/11,Palermo,Lecce,2,0,1,0,-189,300,525,-122,115,-1
I1,29/10/11,Catania,Napoli,2,1,1,1,190,210,150,143,-133,0
I1,29/10/11,Inter,Juventus,1,2,1,2,150,220,188,119,-127,0
I1,29/10/11,Roma,Milan,2,3,1,2,175,220,160,115,-122,0
I1,30/10/11,Bologna,Atalanta,3,1,1,1,150,220,188,129,-143,0
I1,30/10/11,Cagliari,Lazio,0,3,0,2,150,220,188,128,-133,0
I1,30/10/11,Fiorentina,Genoa,1,0,1,0,100,220,300,110,-119,-0.5
I1,30/10/11,Lecce,Novara,1,1,1,1,120,230,230,105,-114,-0.25
I1,30/10/11,Parma,Cesena,2,0,1,0,-125,225,400,139,-143,-0.5
I1,30/10/11,Siena,Chievo,4,1,1,0,110,220,260,159,-167,-0.25
I1,30/10/11,Udinese,Palermo,1,0,1,0,-149,260,450,-105,105,-0.75
I1,05/11/11,Novara,Roma,0,2,0,0,300,240,-110,101,-110,0.5
I1,05/11/11,Palermo,Bologna,3,1,1,0,-149,250,450,103,-108,-0.75
I1,06/11/11,Atalanta,Cagliari,1,0,0,0,110,225,250,128,-133,-0.25
I1,06/11/11,Cesena,Lecce,0,1,0,0,100,220,300,138,-147,-0.5
I1,06/11/11,Chievo,Fiorentina,1,0,0,0,170,210,170,152,-154,0
I1,06/11/11,Lazio,Parma,1,0,0,0,-175,260,550,-104,100,-0.75
I1,06/11/11,Milan,Catania,4,0,2,0,-303,350,1000,-132,119,-1.25
I1,06/11/11,Udinese,Siena,2,1,1,0,-161,260,500,112,-118,-0.75
I1,19/11/11,Fiorentina,Milan,0,0,0,0,250,225,110,116,-125,0.25
I1,19/11/11,Inter,Cagliari,2,1,0,0,-189,280,550,-102,-103,-1
I1,19/11/11,Napoli,Lazio,0,0,0,0,105,225,275,133,-143,-0.25
I1,20/11/11,Bologna,Cesena,0,1,0,0,-110,230,320,144,-159,-0.5
I1,20/11/11,Catania,Chievo,1,2,0,1,-110,230,320,149,-154,-0.5
I1,20/11/11,Genoa,Novara,1,0,0,0,-175,275,500,-115,106,-1
I1,20/11/11,Juventus,Palermo,3,0,1,0,-227,320,650,-118,111,-1.25
I1,20/11/11,Parma,Udinese,2,0,0,0,190,210,150,143,-149,0
I1,20/11/11,Roma,Lecce,2,1,1,0,-278,350,800,-132,125,-1.25
I1,20/11/11,Siena,Atalanta,2,2,1,1,110,220,260,143,-152,-0.25
I1,25/11/11,Udinese,Roma,2,0,0,0,125,220,225,109,-114,-0.25
I1,26/11/11,Atalanta,Napoli,1,1,0,0,163,210,175,133,-143,0
I1,26/11/11,Lazio,Juventus,0,1,0,1,175,210,163,120,-128,0
I1,26/11/11,Lecce,Catania,0,1,0,0,160,210,180,120,-132,0
I1,26/11/11,Novara,Parma,2,1,0,1,150,210,190,128,-139,0
I1,27/11/11,Cagliari,Bologna,1,1,0,0,-118,230,350,125,-139,-0.5
I1,27/11/11,Cesena,Genoa,2,0,0,0,163,210,175,136,-143,0
I1,27/11/11,Milan,Chievo,4,0,4,0,-303,375,900,-116,107,-1.25
I1,27/11/11,Palermo,Fiorentina,2,0,1,0,130,210,230,116,-125,-0.25
I1,27/11/11,Siena,Inter,0,1,0,0,200,220,138,118,-125,0.25
I1,29/11/11,Napoli,Juventus,3,3,2,0,140,220,200,131,-133,-0.25
I1,02/12/11,Genoa,Milan,0,2,0,0,350,250,-125,107,-110,0.5
I1,03/12/11,Inter,Udinese,0,1,0,0,100,230,275,119,-127,-0.5
I1,03/12/11,Napoli,Lecce,4,2,3,0,-278,350,800,-103,-102,-1.25
I1,04/12/11,Bologna,Siena,1,0,1,0,150,200,200,152,-161,0
I1,04/12/11,Catania,Cagliari,0,1,0,0,100,220,300,134,-145,-0.5
I1,04/12/11,Chievo,Atalanta,0,0,0,0,130,210,225,150,-149,-0.25
I1,04/12/11,Fiorentina,Roma,3,0,2,0,140,210,210,128,-137,-0.25
I1,04/12/11,Juventus,Cesena,2,0,0,0,-400,450,1100,-115,115,-1.5
I1,04/12/11,Parma,Palermo,0,0,0,0,110,220,260,115,-125,-0.25
I1,05/12/11,Lazio,Novara,3,0,2,0,-278,350,800,-110,102,-1.25
I1,10/12/11,Inter,Fiorentina,2,0,1,0,-110,225,333,128,-133,-0.5
I1,10/12/11,Lecce,Lazio,2,3,1,1,320,225,-110,127,-132,0.5
I1,10/12/11,Palermo,Cesena,0,1,0,0,-161,260,500,119,-123,-0.75
I1,10/12/11,Siena,Genoa,0,2,0,0,110,220,260,141,-143,-0.25
I1,11/12/11,Atalanta,Catania,1,1,0,1,100,220,300,143,-143,-0.5
I1,11/12/11,Bologna,Milan,2,2,1,1,700,300,-227,116,-123,1
I1,11/12/11,Cagliari,Parma,0,0,0,0,110,210,275,143,-143,-0.25
I1,11/12/11,Novara,Napoli,1,1,0,0,300,240,-110,122,-127,0.5
I1,11/12/11,Udinese,Chievo,2,1,0,0,-200,275,650,125,-130,-1
I1,12/12/11,Roma,Juventus,1,1,1,0,300,220,100,108,-115,0.5
I1,13/12/11,Genoa,Inter,0,1,0,0,225,220,125,129,-133,0.25
I1,17/12/11,Chievo,Cagliari,2,0,1,0,-110,225,320,156,-167,-0.5
I1,17/12/11,Fiorentina,Atalanta,2,2,1,0,-110,225,333,132,-143,-0.5
I1,17/12/11,Milan,Siena,2,0,0,0,-345,400,1100,-128,122,-1.5
I1,18/12/11,Catania,Palermo,2,0,1,0,110,220,260,127,-135,-0.25
I1,18/12/11,Cesena,Inter,0,1,0,0,375,225,-120,141,-145,0.5
I1,18/12/11,Genoa,Bologna,2,1,1,0,-125,240,375,128,-133,-0.5
I1,18/12/11,Juventus,Novara,2,0,1,0,-455,500,1200,-139,134,-1.75
I1,18/12/11,Lazio,Udinese,2,2,1,1,120,220,240,129,-135,-0.25
I1,18/12/11,Napoli,Roma,1,3,0,1,-120,240,350,105,-114,-0.5
I1,18/12/11,Parma,Lecce,3,3,1,0,-149,260,450,122,-125,-0.75
I1,20/12/11,Cagliari,Milan,0,2,0,1,550,260,-175,120,-119,1
I1,20/12/11,Siena,Fiorentina,0,0,0,0,150,210,190,152,-161,0
I1,21/12/11,Atalanta,Cesena,4,1,3,1,-110,225,333,150,-161,-0.5
I1,21/12/11,Bologna,Roma,0,2,0,2,240,210,125,115,-120,0.25
I1,21/12/11,Inter,Lecce,4,1,1,1,-333,400,1000,-125,124,-1.5
I1,21/12/11,Lazio,Chievo,0,0,0,0,-189,275,600,116,-120,-1
I1,21/12/11,Napoli,Genoa,6,1,4,1,-175,275,525,117,-120,-1
I1,21/12/11,Novara,Palermo,2,2,0,1,138,200,220,133,-141,-0.25
I1,21/12/11,Parma,Catania,3,3,3,1,110,220,260,138,-143,-0.5
I1,21/12/11,Udinese,Juventus,0,0,0,0,188,220,150,124,-132,0
I1,07/01/12,Inter,Parma,5,0,3,0,-250,333,750,-103,-103,-1.25
I1,07/01/12,Siena,Lazio,4,0,3,0,225,210,130,138,-143,0.25
I1,08/01/12,Atalanta,Milan,0,2,0,1,450,225,-137,112,-118,0.75
I1,08/01/12,Bologna,Catania,2,0,0,0,130,220,220,139,-143,-0.25
I1,08/01/12,Cagliari,Genoa,3,0,1,0,125,210,240,144,-152,-0.25
I1,08/01/12,Lecce,Juventus,0,1,0,1,650,280,-200,-105,100,1
I1,08/01/12,Novara,Fiorentina,0,3,0,2,190,210,150,138,-143,0
I1,08/01/12,Palermo,Napoli,1,3,0,1,200,225,138,111,-116,0.25
I1,08/01/12,Roma,Chievo,2,0,1,0,-161,260,500,113,-120,-0.75
I1,08/01/12,Udinese,Cesena,4,1,1,1,-227,280,800,117,-120,-1
I1,15/01/12,Cesena,Novara,3,1,3,0,100,220,300,142,-147,-0.5
I1,15/01/12,Chievo,Palermo,1,0,0,0,110,200,290,159,-154,-0.25
I1,15/01/12,Fiorentina,Lecce,0,1,0,0,-250,350,700,-104,-101,-1.25
I1,15/01/12,Genoa,Udinese,3,2,0,1,190,210,150,125,-133,0
I1,15/01/12,Juventus,Cagliari,1,1,1,0,-333,350,1200,-110,106,-1.5
I1,15/01/12,Lazio,Atalanta,2,0,1,0,-125,240,375,126,-133,-0.75
I1,15/01/12,Milan,Inter,0,1,0,0,110,225,260,117,-125,-0.25
I1,15/01/12,Parma,Siena,3,1,1,0,120,200,260,143,-152,-0.25
I1,16/01/12,Napoli,Bologna,1,1,0,1,-303,400,800,-110,105,-1.5
I1,21/01/12,Atalanta,Juventus,0,2,0,0,333,225,-110,137,-141,0.5
I1,21/01/12,Roma,Cesena,5,1,3,0,-250,320,800,-106,104,-1.25
I1,22/01/12,Bologna,Parma,0,0,0,0,150,200,200,125,-133,0
I1,22/01/12,Cagliari,Fiorentina,0,0,0,0,138,210,210,156,-161,-0.25
I1,22/01/12,Inter,Lazio,2,1,1,1,-161,260,500,113,-120,-0.75
I1,22/01/12,Lecce,Chievo,2,2,1,2,140,220,200,135,-147,0
I1,22/01/12,Novara,Milan,0,3,0,0,750,333,-250,-115,106,1.25
I1,22/01/12,Palermo,Genoa,5,3,3,1,105,225,275,105,-103,-0.25
I1,22/01/12,Siena,Napoli,1,1,0,0,250,230,110,120,-125,0.25
I1,22/01/12,Udinese,Catania,2,1,1,0,-161,260,500,116,-123,-0.75
